,INSTNM,CITY,STABBR,HCM2,PREDDEG,HIGHDEG,CONTROL,LOCALE,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,PCTPELL,RET_FT4_POOLED_SUPP,RET_FTL4_POOLED_SUPP,RET_PT4_POOLED_SUPP,RET_PTL4_POOLED_SUPP,PCTFLOAN,UG25ABV,MD_EARN_WNE_P10,GT_25K_P6,GT_28K_P6,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_L4_POOLED_SUPP,C150_4_POOLED_SUPP
3425,Tennessee Technological University,Cookeville,TN,0,3,4,1,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,460.0,590.0,500.0,600.0,,,525.0,550.0,,21.0,27.0,21.0,28.0,20.0,26.0,,,24.0,25.0,23.0,,1103.0,1103.0,0.0342,0.0238,0.0,0.0,0.0145,0.0,0.0347,0.0,0.1327,0.1623,0.0301,0.0041,0.0316,0.0,0.0078,0.0829,0.0,0.0425,0.0067,0.0,0.0026,0.0586,0.0,0.0,0.0233,0.0,0.0264,0.0,0.0,0.0472,0.0,0.0,0.0,0.0,0.0233,0.0601,0.142,0.0083,0.0,9184.0,0.8245,0.0401,0.0283,0.0164,0.0014,0.0003,0.0305,0.0527,0.0058,0.0869,1,14233.0,,10291.0,12702.0,15625.0,17838.0,17502.0,,,,,,0.3421,0.7662,,0.4762,,0.4281,0.121,40500.0,0.654,0.605,16532.0,175.75182438588797,0.6374342270000001,,0.5194
3426,Trevecca Nazarene University,Nashville,TN,0,3,4,2,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,470.0,570.0,460.0,570.0,,,520.0,515.0,,19.0,25.0,19.0,26.0,18.0,24.0,,,22.0,23.0,21.0,,1031.0,1031.0,0.0,0.0,0.0,0.0,0.0315,0.0,0.0394,0.0,0.0367,0.0026,0.0,0.0,0.0,0.0,0.0052,0.0026,0.0,0.0157,0.0052,0.0,0.0341,0.0367,0.0052,0.0997,0.0026,0.0,0.0446,0.0079,0.0262,0.0026,0.0,0.0,0.0,0.0,0.0761,0.0892,0.4252,0.0105,0.0,1979.0,0.6139,0.1349,0.1263,0.0116,0.0035,0.002,0.0243,0.0243,0.0591,0.3679,1,,17104.0,,,,,,14546.0,12851.0,18801.0,18632.0,20154.0,0.3419,0.7932,,,,0.4883,0.3058,40500.0,0.688,0.677,17764.0,188.84922625156798,0.6678743961,,0.5
3427,Northeast State Community College,Blountville,TN,0,2,2,1,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0068,0.0287,0.0,0.0144,0.0,0.114,0.0,0.0203,0.0,0.0,0.3801,0.0,0.0,0.0,0.0,0.1318,0.0,0.0,0.0,0.0,0.0118,0.0,0.0025,0.0,0.0,0.0186,0.0279,0.0211,0.0,0.0,0.1461,0.076,0.0,0.0,5151.0,0.9027,0.0283,0.0252,0.0056,0.0031,0.0012,0.0221,0.0017,0.0099,0.3463,1,5009.0,,4530.0,5017.0,6643.0,6574.0,,,,,,,0.4587,,0.5669,,0.4184,0.0,0.3194,26500.0,0.414,0.369,3434.0,36.5068814989803,0.38998482549999997,0.2071,
3428,Tusculum College,Greeneville,TN,0,3,4,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,413.0,500.0,430.0,540.0,,,457.0,485.0,,18.0,23.0,17.0,23.0,17.0,23.0,,,21.0,20.0,20.0,,962.0,962.0,0.0,0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.1117,0.0,0.0,0.0,0.0,0.0,0.0152,0.0,0.0,0.0279,0.0051,0.0,0.0127,0.0736,0.0,0.0,0.0,0.0,0.1218,0.0279,0.0,0.0076,0.0,0.0,0.0,0.0,0.0228,0.0838,0.4695,0.0102,0.0,1585.0,0.7218,0.1464,0.0309,0.0044,0.0038,0.0006,0.0177,0.0366,0.0379,0.106,1,,16290.0,,,,,,14238.0,14894.0,19054.0,20441.0,20409.0,0.5497,0.6349,,,,0.7221,0.3564,38300.0,0.617,0.5920000000000001,24750.0,263.11744819445596,0.5205585725,,0.3853
3429,Union University,Jackson,TN,0,3,4,2,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,530.0,660.0,490.0,640.0,,,595.0,565.0,,23.0,30.0,23.0,32.0,21.0,27.0,,,27.0,28.0,24.0,,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0309,0.0,0.0146,0.0,0.0602,0.0228,0.0,0.0065,0.0016,0.0,0.0228,0.0049,0.0,0.0325,0.0146,0.0,0.0033,0.0472,0.0309,0.026000000000000002,0.013000000000000001,0.0,0.039,0.0,0.0537,0.0179,0.0,0.0,0.0,0.0,0.0439,0.2618,0.2472,0.0049,0.0,2182.0,0.7067,0.2021,0.0257,0.022000000000000002,0.0082,0.0009,0.0,0.0009,0.0335,0.258,1,,25437.0,,,,,,21593.0,22520.0,25156.0,27760.0,28899.0,0.29600000000000004,0.8434,,0.7575,,0.5516,0.2829,43200.0,0.6729999999999999,0.672,23591.0,250.79610991335,0.6617647059,,0.6615
3430,Vanderbilt University,Nashville,TN,0,3,4,2,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,700.0,790.0,720.0,800.0,690.0,770.0,745.0,760.0,730.0,32.0,35.0,32.0,35.0,30.0,35.0,8.0,10.0,34.0,34.0,33.0,9.0,1495.0,1495.0,0.0,0.0,0.0,0.0122,0.0151,0.0,0.0279,0.0,0.0337,0.1799,0.0,0.0157,0.0058,0.0,0.0244,0.0,0.0,0.0743,0.0192,0.0,0.1376,0.0,0.0122,0.0,0.0157,0.0,0.0482,0.0,0.0075,0.2948,0.0,0.0,0.0,0.0,0.0389,0.0,0.0,0.0371,0.0,6844.0,0.5152,0.0923,0.0918,0.1246,0.0045,0.0019,0.0491,0.0712,0.0494,0.0053,1,,17929.0,,,,,,3482.0,4750.0,8451.0,14577.0,32921.0,0.1358,0.9697,,,,0.1354,0.0032,69000.0,0.8240000000000001,0.7929999999999999,14500.0,154.149616113923,0.8355029586,,0.922
3431,Volunteer State Community College,Gallatin,TN,0,2,2,1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0071,0.0,0.0,0.0,0.0,0.0,0.0177,0.0,0.0134,0.0,0.0,0.0,0.0149,0.0127,0.0,0.4593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0764,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.327,0.0651,0.0,0.0,6973.0,0.7621,0.0994,0.0589,0.0142,0.0042,0.001,0.0307,0.0047,0.0248,0.3274,1,6366.0,,5355.0,5843.0,8350.0,11010.0,11023.0,,,,,,0.3696,,0.5271,,0.3548,0.1614,0.2389,32000.0,0.521,0.5,6500.0,69.10155205106929,0.49339049659999995,0.2178,
3432,Walters State Community College,Morristown,TN,0,1,2,1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.008,0.0,0.0,0.0,0.0,0.0,0.01,0.009000000000000001,0.009000000000000001,0.0,0.0285,0.0,0.009000000000000001,0.0,0.0,0.5854,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0826,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.2303,0.0245,0.0,0.0,4431.0,0.8973,0.0244,0.0366,0.0081,0.0027,0.0002,0.0235,0.0059,0.0014,0.2938,1,3463.0,,3166.0,2995.0,5206.0,6253.0,,,,,,,0.4903,,0.5347,,0.3978,0.0,0.187,27500.0,0.41100000000000003,0.376,3372.0,35.8477590024931,0.4841473865,0.2273,
3434,William Moore College of Technology,Memphis,TN,0,1,2,2,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0874,0.5437,0.3689,0.0,0.0,0.0,0.0,0.0,0.0,293.0,0.4369,0.4744,0.0683,0.0171,0.0,0.0,0.0034,0.0,0.0,0.6621,1,,10008.0,,,,,,9741.0,13081.0,,,,0.2128,,0.7747,,0.6485,0.0,0.6617,,,,,,,0.6296,
3435,Abilene Christian University,Abilene,TX,0,3,4,2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,460.0,580.0,470.0,580.0,450.0,570.0,520.0,525.0,510.0,21.0,27.0,20.0,28.0,21.0,26.0,6.0,8.0,24.0,24.0,24.0,7.0,1077.0,1077.0,0.0119,0.0092,0.0013,0.0,0.0909,0.0,0.0184,0.0,0.057999999999999996,0.0092,0.0,0.0013,0.0329,0.0,0.0237,0.0,0.0,0.0672,0.0013,0.0,0.0514,0.0487,0.0,0.0501,0.0079,0.0,0.0553,0.0158,0.0211,0.0198,0.0,0.0,0.0,0.0,0.0856,0.1252,0.191,0.0026,0.0,3719.0,0.6416,0.0906,0.16399999999999998,0.011000000000000001,0.0032,0.0011,0.0497,0.0368,0.0019,0.0454,1,,25624.0,,,,,,23207.0,22762.0,24129.0,26998.0,29553.0,0.258,0.7771,,,,0.5237,0.0218,43000.0,0.687,0.6609999999999999,23628.0,251.18945720964,0.7013401404,,0.6161
