,INSTNM,CITY,STABBR,HCM2,PREDDEG,HIGHDEG,CONTROL,LOCALE,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,PCTPELL,RET_FT4_POOLED_SUPP,RET_FTL4_POOLED_SUPP,RET_PT4_POOLED_SUPP,RET_PTL4_POOLED_SUPP,PCTFLOAN,UG25ABV,MD_EARN_WNE_P10,GT_25K_P6,GT_28K_P6,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_L4_POOLED_SUPP,C150_4_POOLED_SUPP
804,Andrew College,Cuthbert,GA,0,2,2,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714,0.0179,0.0,0.0,0.0,0.0179,0.0,0.125,0.0,0.0,0.0893,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0179,0.0357,0.0,0.0,0.0,0.0,0.0,0.0714,0.3036,0.0893,0.0179,0.0,267.0,0.3745,0.4869,0.0599,0.0037,0.0,0.0,0.0225,0.0487,0.0037,0.0037,1,,18441.0,,,,,,18324.0,18426.0,18161.0,18343.0,19596.0,0.5852,,0.5064,,,0.8103,0.0032,29000.0,0.39299999999999996,0.36,12000.0,127.57209609428101,0.375,0.1694,
809,Point University,West Point,GA,0,3,3,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,400.0,490.0,410.0,520.0,,,445.0,465.0,,17.0,22.0,16.0,21.0,15.0,21.0,,,20.0,19.0,18.0,,922.0,922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0374,0.0,0.0,0.0,0.0374,0.0,0.0031,0.1776,0.0,0.027999999999999997,0.0,0.0,0.0,0.0343,0.0,0.2991,0.0,0.0,0.1963,0.0187,0.0,0.0062,0.0,0.0,0.0,0.0,0.0125,0.0,0.1433,0.0062,0.0,1358.0,0.4728,0.3395,0.0464,0.0044,0.0022,0.0022,0.0626,0.0221,0.0479,0.1024,1,,15272.0,,,,,,15758.0,8820.0,15401.0,19279.0,12307.0,0.6044,0.6189,,,,0.7891,0.2939,32500.0,0.483,0.48700000000000004,26000.0,276.406208204277,0.3124287343,,0.4229
813,Clark Atlanta University,Atlanta,GA,0,3,4,2,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,420.0,490.0,400.0,480.0,,,455.0,440.0,,18.0,21.0,,,,,,,20.0,,,,914.0,914.0,0.0,0.0,0.0,0.0,0.2046,0.0,0.0338,0.0,0.0359,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.1055,0.0042,0.0,0.0,0.0,0.0063,0.0,0.0127,0.0,0.1034,0.0865,0.0443,0.0316,0.0,0.0,0.0,0.0,0.1181,0.0,0.1878,0.0063,0.0,3093.0,0.0019,0.8267,0.0019,0.0019,0.001,0.0,0.0,0.0424,0.1242,0.0346,1,,32845.0,,,,,,31149.0,32059.0,35297.0,36972.0,36862.0,0.7041,0.6689,,0.2593,,0.8439,0.0412,35500.0,0.49200000000000005,0.469,31000.0,329.56124824356095,0.3121412804,,0.3838
816,Berry College,Mount Berry,GA,0,3,4,2,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,530.0,630.0,530.0,610.0,510.0,610.0,580.0,570.0,560.0,24.0,29.0,24.0,31.0,22.0,28.0,,,27.0,28.0,25.0,,1183.0,1183.0,0.0,0.0108,0.0,0.0,0.0781,0.0,0.0,0.0,0.0651,0.0,0.0065,0.0152,0.0,0.0,0.0217,0.0,0.0,0.2234,0.026000000000000002,0.0,0.013000000000000001,0.0738,0.013000000000000001,0.0,0.0108,0.0,0.1041,0.0,0.0,0.0586,0.0,0.0,0.0,0.0,0.0499,0.0716,0.141,0.0174,0.0,2055.0,0.8117,0.0443,0.0657,0.0131,0.0029,0.0,0.0321,0.0044,0.0258,0.0044,1,,23058.0,,,,,,17343.0,17507.0,20416.0,23613.0,28210.0,0.2336,0.8399,,,,0.5403,0.0174,40000.0,0.591,0.573,24093.5,256.138191437298,0.726618705,,0.6465
817,Beulah Heights University,Atlanta,GA,0,3,4,2,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,0.0541,0.7407,0.0256,0.0883,0.0,0.0,0.0,0.0028,0.0883,0.6296,1,,16165.0,,,,,,16113.0,16235.0,,,,0.6071,0.6609999999999999,,0.5088,,0.6505,0.8049,29100.0,0.402,0.43799999999999994,,,0.21974522289999998,,0.1667
818,Brenau University,Gainesville,GA,0,3,4,2,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,440.0,530.0,420.0,500.0,450.0,520.0,485.0,460.0,485.0,19.0,24.0,17.0,23.0,18.0,25.0,,,22.0,20.0,22.0,,973.0,973.0,0.0,0.0,0.0,0.0,0.0154,0.0,0.0,0.0,0.0862,0.0,0.0,0.0,0.0,0.0123,0.0092,0.1446,0.0,0.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.1292,0.3538,0.1815,0.0031,0.0,1638.0,0.4811,0.3284,0.0879,0.0201,0.0018,0.0006,0.0317,0.0299,0.0183,0.3663,1,,18014.0,,,,,,19032.0,20741.0,19913.0,19639.0,7247.0,0.486,0.6486,,,,0.7074,0.5229,42000.0,0.66,0.684,27000.0,287.037216212134,0.4541800643,,0.4647
819,Brewton-Parker College,Mount Vernon,GA,0,3,3,2,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0455,0.0,0.0,0.0,0.0758,0.0,0.0,0.0,0.0,0.0,0.0152,0.1818,0.0,0.1515,0.0,0.0,0.1212,0.0,0.0303,0.0,0.0,0.0,0.0455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2879,0.0455,0.0,462.0,0.3355,0.2619,0.0758,0.0022,0.0087,0.026000000000000002,0.0216,0.0368,0.2316,0.1255,1,,18578.0,,,,,,17495.0,17704.0,19662.0,20561.0,21531.0,0.3782,0.3532,,,,0.4935,0.0893,31900.0,0.46399999999999997,0.466,27000.0,287.037216212134,0.4073275862,,0.1969
825,Columbia Theological Seminary,Decatur,GA,0,4,4,2,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,Covenant College,Lookout Mountain,GA,0,3,4,2,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,540.0,670.0,510.0,630.0,510.0,650.0,605.0,570.0,580.0,24.0,29.0,23.0,32.0,22.0,27.0,6.0,8.0,27.0,28.0,25.0,7.0,1191.0,1191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0211,0.0,0.1139,0.0,0.0,0.0169,0.0,0.0,0.1097,0.0,0.0,0.0591,0.0169,0.0,0.1013,0.0084,0.0127,0.0464,0.0127,0.0,0.0844,0.0,0.0,0.1435,0.0,0.0,0.0,0.0,0.1013,0.0,0.09699999999999999,0.0549,0.0,981.0,0.8624,0.0275,0.0336,0.0143,0.0,0.002,0.0275,0.0306,0.002,0.0082,1,,22721.0,,,,,,17573.0,18925.0,20701.0,23293.0,27498.0,0.2481,0.8547,,,,0.499,0.0125,41200.0,0.664,0.602,22199.5,236.003062270417,0.8191268191,,0.6557
834,Emmanuel College,Franklin Springs,GA,0,3,3,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,410.0,540.0,420.0,530.0,,,475.0,475.0,,18.0,21.0,18.0,21.0,18.0,21.0,,,20.0,20.0,20.0,,943.0,943.0,0.0,0.0,0.0,0.0,0.0526,0.0,0.0226,0.0,0.1053,0.0,0.0,0.0,0.0,0.0226,0.0,0.1504,0.0,0.0451,0.0376,0.0,0.0,0.218,0.0,0.0827,0.0,0.0,0.0827,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0301,0.015,0.0977,0.0301,0.0,770.0,0.6779,0.1442,0.0675,0.0052,0.0026,0.0065,0.0325,0.0636,0.0,0.0351,1,,16614.0,,,,,,16780.0,11649.0,14499.0,19382.0,17767.0,0.414,0.5835,,,,0.5905,0.0339,33600.0,0.469,0.446,25500.0,271.090704200348,0.4142857143,,0.32299999999999995
835,Emory University,Atlanta,GA,0,3,4,2,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,630.0,730.0,660.0,770.0,640.0,730.0,680.0,715.0,685.0,30.0,33.0,,,,,8.0,10.0,32.0,,,9.0,1397.0,1382.0,0.0,0.0135,0.0,0.0171,0.0026,0.0,0.0202,0.0,0.0021,0.0,0.0,0.015,0.0,0.0,0.0269,0.0041,0.0,0.1904,0.0316,0.0,0.0274,0.0155,0.013999999999999999,0.0,0.0285,0.0,0.0641,0.0,0.0,0.1847,0.0,0.0,0.0,0.0,0.0212,0.1024,0.2012,0.0176,0.0,6717.0,0.4192,0.0856,0.0862,0.1848,0.0013,0.0001,0.0371,0.1627,0.0229,0.0116,1,,25572.0,,,,,,13812.0,13406.0,19348.0,24324.0,44260.0,0.196,0.9391,,,,0.3131,0.0313,66000.0,0.799,0.7929999999999999,19250.0,204.64690415124298,0.7968103956999999,,0.8999
847,Gupton Jones College of Funeral Service,Decatur,GA,0,2,2,2,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,0.3432,0.6568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,18178.0,,,,,,17727.0,19109.0,20359.0,21109.0,,0.6701,,0.8875,,,0.6907,0.3351,29000.0,0.5,0.496,16042.0,170.542630462039,0.2955465587,0.6533,
850,Interdenominational Theological Center,Atlanta,GA,0,4,4,2,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,LaGrange College,Lagrange,GA,0,3,4,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,470.0,550.0,460.0,540.0,425.0,520.0,510.0,500.0,473.0,20.0,24.0,19.0,24.0,18.0,24.0,6.0,8.0,22.0,22.0,21.0,7.0,1021.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0,0.0714,0.0,0.0,0.022000000000000002,0.022000000000000002,0.0,0.022000000000000002,0.0275,0.0,0.0769,0.022000000000000002,0.0,0.0,0.0824,0.022000000000000002,0.0,0.011000000000000001,0.0,0.0714,0.0,0.0,0.0659,0.0,0.0,0.0,0.0,0.1154,0.1868,0.1374,0.0385,0.0,902.0,0.7140000000000001,0.2251,0.0133,0.0133,0.0022,0.0,0.0233,0.0078,0.0011,0.0532,1,,22110.0,,,,,,20016.0,20124.0,21510.0,22726.0,24680.0,0.4945,0.6633,,,,0.7643,0.1075,39600.0,0.627,0.624,26000.0,276.406208204277,0.5758122743999999,,0.4677
853,Life University,Marietta,GA,0,3,4,2,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,420.0,510.0,410.0,510.0,,,465.0,460.0,,17.0,22.0,16.0,22.0,16.0,22.0,,,20.0,19.0,19.0,,927.0,927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1552,0.0,0.3276,0.0,0.0,0.0776,0.1466,0.0,0.0,0.0,0.0,0.1293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0776,0.0776,0.0,0.0,718.0,0.4791,0.266,0.1142,0.0223,0.0251,0.0,0.0,0.0543,0.039,0.2604,1,,28281.0,,,,,,26312.0,27950.0,27587.0,31341.0,31706.0,0.4202,0.6773,,,,0.6214,0.36200000000000004,35600.0,0.63,0.55,10000.0,106.310080078568,0.3549160671,,0.2381
