,INSTNM,CITY,STABBR,HCM2,PREDDEG,HIGHDEG,CONTROL,LOCALE,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,PCTPELL,RET_FT4_POOLED_SUPP,RET_FTL4_POOLED_SUPP,RET_PT4_POOLED_SUPP,RET_PTL4_POOLED_SUPP,PCTFLOAN,UG25ABV,MD_EARN_WNE_P10,GT_25K_P6,GT_28K_P6,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_L4_POOLED_SUPP,C150_4_POOLED_SUPP
509,Victor Valley College,Victorville,CA,0,2,2,1,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0077,0.0,0.0,0.0,0.0128,0.0,0.0094,0.006,0.0,0.0,0.0187,0.0,0.046,0.0119,0.0043,0.1694,0.0,0.0,0.0051,0.0,0.2826,0.0,0.0,0.0,0.0,0.0,0.0221,0.063,0.0,0.0085,0.0034,0.034,0.0077,0.0,0.0349,0.1362,0.1098,0.0068,0.0,9825.0,0.2804,0.1048,0.5287,0.0253,0.0036,0.0027,0.0488,0.001,0.0047,0.6043,1,7976.0,,7604.0,7929.0,10160.0,11928.0,,,,,,,0.4903,,0.6455,,0.4903,0.0,0.3534,27800.0,0.39899999999999997,0.354,5375.0,57.1416680422304,0.198156682,0.1617,
510,Berkeley City College,Berkeley,CA,0,2,2,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0015,0.0232,0.0263,0.0201,0.0,0.0,0.0,0.0201,0.0232,0.0108,0.0,0.0201,0.575,0.0,0.0,0.0309,0.0,0.0,0.0,0.0031,0.0,0.0,0.0,0.0355,0.0,0.0124,0.1082,0.0,0.0,0.0,0.0,0.0139,0.0062,0.0665,0.0031,0.0,6207.0,0.2555,0.1479,0.2431,0.2309,0.0023,0.0045,0.0693,0.0045,0.042,0.7775,1,6943.0,,6428.0,7502.0,9951.0,9895.0,,,,,,,0.1891,,0.5668,,0.3007,0.0187,0.3928,32600.0,0.436,0.43700000000000006,,,0.37552742619999996,0.2186,
513,West Hills College-Coalinga,Coalinga,CA,0,1,2,1,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0068,0.0,0.0,0.0,0.0,0.0,0.0086,0.0,0.0,0.0,0.0,0.0,0.2038,0.0,0.0,0.4178,0.0,0.0,0.0,0.0,0.0377,0.0068,0.0,0.0,0.0,0.0,0.0308,0.0479,0.0,0.0017,0.0,0.0,0.0,0.0,0.0017,0.1695,0.0668,0.0,0.0,3075.0,0.1808,0.0576,0.6751,0.0286,0.0049,0.0052,0.0146,0.0153,0.0179,0.6881,1,7054.0,,6533.0,6954.0,8814.0,12327.0,,,,,,,0.3528,,0.6174,,0.2942,0.0632,0.29100000000000004,28300.0,0.402,0.38299999999999995,7000.0,74.4170560549977,0.3514376997,0.2898,
514,West Los Angeles College,Culver City,CA,0,1,2,1,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0096,0.0,0.0654,0.0,0.001,0.0,0.0,0.001,0.0366,0.0414,0.0038,0.3917,0.0,0.0029,0.001,0.0,0.0173,0.0,0.001,0.0,0.001,0.0,0.0269,0.0481,0.0,0.0173,0.0,0.0722,0.0,0.0,0.0318,0.1116,0.1165,0.0019,0.0,10652.0,0.135,0.2692,0.4267,0.0623,0.0024,0.0026,0.0359,0.036000000000000004,0.0299,0.7348,1,7019.0,,6565.0,7463.0,9042.0,11884.0,,,,,,,0.2439,,,,,0.0297,0.4725,31500.0,0.478,0.4,,,0.2524271845,,0.1312
515,West Valley College,Saratoga,CA,0,2,2,1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0257,0.0059,0.005,0.0683,0.0188,0.002,0.0,0.003,0.002,0.0059,0.002,0.0624,0.0396,0.0168,0.1693,0.0,0.0139,0.0089,0.0,0.0644,0.0129,0.0,0.0,0.0168,0.0,0.0307,0.0584,0.0,0.0634,0.0,0.0,0.0,0.0,0.0782,0.0644,0.1525,0.0089,0.0,7118.0,0.42200000000000004,0.0267,0.28800000000000003,0.1738,0.0018,0.003,0.0586,0.0108,0.0153,0.6423,1,8125.0,,6994.0,8573.0,10743.0,12285.0,14989.0,,,,,,0.1447,,0.7686,,0.4509,0.0043,0.3564,38800.0,0.499,0.496,,,0.5183673469,0.3238,
525,Yuba College,Marysville,CA,0,2,2,1,22.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0022,0.0,0.0,0.0,0.0056,0.0,0.0078,0.0145,0.0,0.0,0.0,0.0,0.0857,0.0011,0.0178,0.0768,0.0,0.0111,0.01,0.0,0.13699999999999998,0.0033,0.0,0.0,0.0045,0.0,0.0401,0.0401,0.0033,0.1559,0.0,0.0356,0.0122,0.0,0.0122,0.1247,0.1904,0.0078,0.0,5722.0,0.3834,0.032,0.3439,0.1344,0.0086,0.0042,0.0678,0.0005,0.0252,0.6096,1,4751.0,,4281.0,4491.0,7130.0,8076.0,,,,,,,0.4415,,0.6421,,0.4228,0.0,0.3695,28600.0,0.392,0.349,,,0.325203252,0.2372,
527,Adams State University,Alamosa,CO,0,3,4,1,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,413.0,530.0,440.0,520.0,,,472.0,480.0,,17.0,22.0,15.0,22.0,16.0,22.0,,,20.0,19.0,19.0,,933.0,933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0241,0.45,0.0,0.0259,0.0121,0.0,0.0,0.0638,0.0,0.0,0.0172,0.0,0.0259,0.0,0.0,0.0759,0.0,0.0,0.0,0.0,0.0552,0.0517,0.1983,0.0,0.0,1982.0,0.4561,0.0747,0.3496,0.0081,0.0151,0.0066,0.0404,0.0101,0.0394,0.1811,1,14275.0,,11446.0,12552.0,14558.0,18288.0,18960.0,,,,,,0.4716,0.5660000000000001,,0.3667,,0.5362,0.2232,35200.0,0.521,0.46399999999999997,22500.0,239.197680176778,0.459791283,,0.2605
528,Aims Community College,Greeley,CO,0,1,2,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0057,0.0,0.0,0.0,0.0149,0.022000000000000002,0.0198,0.0,0.0014,0.0,0.0248,0.0,0.0085,0.0,0.0,0.2387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,0.1013,0.0,0.0,0.0127,0.0885,0.0871,0.0198,0.0,0.3173,0.0361,0.0,0.0,3603.0,0.5548,0.0214,0.37,0.0119,0.0053,0.0036,0.0241,0.0025,0.0064,0.4999,1,7032.0,,5832.0,6625.0,7964.0,12000.0,11855.0,,,,,,0.2827,,0.6937,,0.5083,0.1414,0.3194,34400.0,0.5770000000000001,0.521,7000.0,74.4170560549977,0.4021565495,0.2611,
529,Arapahoe Community College,Littleton,CO,0,1,2,1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0006,0.0,0.0444,0.0396,0.0,0.0,0.0639,0.0024,0.0769,0.0414,0.0,0.2371,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0538,0.0,0.0,0.0041,0.0331,0.0,0.0,0.0384,0.3335,0.0278,0.0,0.0,6762.0,0.5927,0.0293,0.1884,0.0287,0.0058,0.0024,0.03,0.0121,0.1106,0.7572,1,8850.0,,6990.0,7228.0,9090.0,11832.0,13234.0,,,,,,0.3694,,0.5602,,0.4133,0.2587,0.4036,38100.0,0.629,0.581,9750.0,103.652328076603,0.4674439067,0.1899,
532,University of Colorado Denver/Anschutz Medical Campus,Denver,CO,0,3,4,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,480.0,590.0,480.0,600.0,,,535.0,540.0,,21.0,26.0,20.0,26.0,19.0,26.0,,,24.0,23.0,23.0,,1077.0,1077.0,0.0,0.0,0.0171,0.0051,0.0549,0.0,0.0083,0.0,0.0051,0.0531,0.0,0.0037,0.0,0.0,0.0282,0.0,0.0,0.1034,0.0078,0.0,0.0222,0.0,0.0028,0.0,0.0092,0.0,0.0739,0.0203,0.0,0.1251,0.0,0.0,0.0,0.0,0.0979,0.1736,0.1782,0.0102,0.0,11228.0,0.4948,0.0507,0.2009,0.1002,0.0037,0.0011,0.0525,0.0756,0.0206,0.2457,1,14816.0,,11382.0,11945.0,15321.0,19364.0,19872.0,,,,,,0.2677,0.6963,,0.48,,0.3254,0.2351,56400.0,0.732,0.7170000000000001,20500.0,217.93566416106398,0.6012548679999999,,0.4691
