,INSTNM,CITY,STABBR,HCM2,PREDDEG,HIGHDEG,CONTROL,LOCALE,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,PCTPELL,RET_FT4_POOLED_SUPP,RET_FTL4_POOLED_SUPP,RET_PT4_POOLED_SUPP,RET_PTL4_POOLED_SUPP,PCTFLOAN,UG25ABV,MD_EARN_WNE_P10,GT_25K_P6,GT_28K_P6,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_L4_POOLED_SUPP,C150_4_POOLED_SUPP
3252,Bob Jones University,Greenville,SC,0,3,4,3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,460.0,630.0,440.0,580.0,433.0,570.0,545.0,510.0,502.0,20.0,26.0,20.0,28.0,17.0,25.0,6.0,8.0,23.0,24.0,21.0,7.0,1068.0,1068.0,0.0,0.0,0.0,0.0,0.036000000000000004,0.0,0.0234,0.0198,0.1315,0.018000000000000002,0.0,0.0108,0.0162,0.0,0.0288,0.0126,0.0,0.0432,0.0144,0.0,0.0,0.0649,0.0,0.0901,0.0054,0.0,0.0396,0.0396,0.0,0.0036,0.0,0.0,0.0,0.0,0.0973,0.1189,0.1712,0.0144,0.0,2387.0,0.7742,0.0163,0.0574,0.0168,0.0042,0.0071,0.0281,0.0628,0.0331,0.0306,1,,15911.0,,,,,,13545.0,14101.0,14978.0,19001.0,19556.0,0.3778,0.8045,,,,0.3819,0.0361,,0.568,0.51,17868.0,189.95485108438498,0.8255578093000001,,0.623
3254,Charleston Cosmetology Institute,Charleston,SC,0,1,1,3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.3607,0.5902,0.0246,0.0164,0.0,0.0,0.0082,0.0,0.0,0.1803,1,,16531.0,,,,,,,16531.0,,,,0.4783,,0.8267,,0.7143,0.5155,0.6458,21900.0,0.28600000000000003,0.225,5974.5,63.514957342940505,0.3057324841,0.8629,
3256,Charzanne Beauty College,Greenwood,SC,0,1,1,3,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.3208,0.5472,0.0,0.0,0.0,0.0,0.1321,0.0,0.0,0.28300000000000003,1,,14475.0,,,,,,14475.0,,,,,0.6622,,0.7121,,0.7436,0.5135,0.2549,18500.0,0.25,0.21100000000000002,,,,0.6837,
3269,Forrest College,Anderson,SC,0,2,2,3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6136,0.1591,0.0,0.0,106.0,0.5943,0.3302,0.0283,0.0,0.0,0.0,0.0,0.0,0.0472,0.2925,1,,16500.0,,,,,,16616.0,15631.0,,,,0.9292,,0.7187,,,0.9292,0.6018,19500.0,0.297,0.195,17634.0,187.46719521054698,0.1775147929,0.6607,
3274,Kenneth Shuler School of Cosmetology-North Augusta,North Augusta,SC,0,1,1,3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.6093,0.3245,0.0265,0.0,0.0,0.0066,0.0199,0.0,0.0132,0.3709,1,,16068.0,,,,,,15135.0,14363.0,19025.0,19888.0,19138.0,0.7456,,0.6857,,,0.6184,0.3962,18700.0,0.17,0.184,9993.0,106.23566302251301,0.2078313253,0.4,
3275,Kenneth Shuler School of Cosmetology and Nails-Columbia,Columbia,SC,0,1,1,3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.4812,0.4511,0.0526,0.0,0.0,0.0075,0.0075,0.0,0.0,0.2932,1,,15698.0,,,,,,15549.0,15937.0,18137.0,,,0.7933,,0.6765,,,0.7095,0.3964,16400.0,0.205,0.183,6885.0,73.1944901340941,0.23193916350000002,0.6334,
3300,Sumter Beauty College,Sumter,SC,0,1,1,3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.6667,0.2917,0.0,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,1,,8968.0,,,,,,8505.0,8484.0,10134.0,,,0.175,,,,,0.0,0.4815,,,,,,,0.6512,
3309,Black Hills Beauty College,Rapid City,SD,0,1,1,3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.7176,0.0235,0.0706,0.0235,0.1294,0.0118,0.0118,0.0,0.0118,0.0,1,,9860.0,,,,,,9521.0,11554.0,,,,0.5693,,0.8696,,,0.4964,0.2667,20100.0,0.311,0.27899999999999997,10846.5,115.309228357218,0.54,0.5841,
3313,Headlines Academy Inc,Rapid City,SD,0,1,1,3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2623,0.0,0.0,0.0,77.0,0.7013,0.013000000000000001,0.026000000000000002,0.013000000000000001,0.1039,0.0,0.1429,0.0,0.0,0.0,1,,8221.0,,,,,,8008.0,6347.0,11422.0,9684.0,12385.0,0.6512,,0.6286,,,0.5736,0.4674,19700.0,0.316,0.302,7917.0,84.16569039820241,0.4680851064,0.6562,
3318,National American University-Rapid City,Rapid City,SD,0,2,3,3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0797,0.012,0.0,0.0,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3586,0.4024,0.0,0.0,1537.0,0.4522,0.3214,0.0573,0.0078,0.027999999999999997,0.0039,0.0104,0.0033,0.1158,0.8478,1,,18009.0,,,,,,18144.0,,17277.0,20069.0,,0.7481,0.5143,,0.3529,,0.8267,0.8097,34500.0,0.546,0.504,30223.0,321.300955021456,0.2421296296,,0.2069
