,college,state,city,average_costs,graduation_rate,salary_after_attending,students
328,Lamar University,TX,Beaumont,12873.0,32.0,39500.0,9065.0
329,Pittsburg State University,KS,Pittsburg,13446.0,48.0,39400.0,5536.0
330,Saginaw Valley State University,MI,University Center,14787.0,39.0,39300.0,7913.0
331,Southwestern Oklahoma State University,OK,Weatherford,11864.0,28.0,39300.0,4272.0
332,Eastern Michigan University,MI,Ypsilanti,14165.0,40.0,39300.0,17025.0
333,Texas A & M University-Commerce,TX,Commerce,10121.0,43.0,39300.0,8302.0
334,Missouri State University-Springfield,MO,Springfield,15687.0,54.0,39300.0,17277.0
335,Indiana State University,IN,Terre Haute,11837.0,39.0,39000.0,10601.0
336,Purdue University-North Central Campus,IN,Westville,9245.0,24.0,39000.0,2519.0
337,Southern Oregon University,OR,Ashland,8195.0,38.0,39000.0,4391.0
338,The University of West Florida,FL,Pensacola,11040.0,48.0,38900.0,9657.0
339,Clayton  State University,GA,Morrow,10969.0,32.0,38800.0,5752.0
340,University of Central Oklahoma,OK,Edmond,12794.0,38.0,38800.0,14531.0
